provinceId,provinceName,districtName,districtId
SG,HoChiMinh,binh-chanh,72
SG,HoChiMinh,binh-tan,65
SG,HoChiMinh,binh-thanh,66
SG,HoChiMinh,can-gio,73
SG,HoChiMinh,cu-chi,74
SG,HoChiMinh,go-vap,67
SG,HoChiMinh,hoc-mon,75
SG,HoChiMinh,nha-be,76
SG,HoChiMinh,phu-nhuan,68
SG,HoChiMinh,quan-1,53
SG,HoChiMinh,quan-10,62
SG,HoChiMinh,quan-11,63
SG,HoChiMinh,quan-12,64
SG,HoChiMinh,quan-2,54
SG,HoChiMinh,quan-3,55
SG,HoChiMinh,quan-4,56
SG,HoChiMinh,quan-5,57
SG,HoChiMinh,quan-6,58
SG,HoChiMinh,quan-7,59
SG,HoChiMinh,quan-8,60
SG,HoChiMinh,quan-9,61
SG,HoChiMinh,tan-binh,69
SG,HoChiMinh,tan-phu,70
SG,HoChiMinh,thu-duc,71
